"hour","year","month","day","time_h","device","time_proper","Meeps","temp_mean","rh_mean","dp_mean"
4,2025,8,5,2025-08-05 04:00:00,"PIKARU6",2025-08-05 04:00:00,4,6.92416666666667,80.3091666666667,3.775
5,2025,8,2,2025-08-02 05:00:00,"PIKARU20",2025-08-02 05:00:00,8,7.67,85.4858333333333,5.39916666666667
5,2025,8,2,2025-08-02 05:00:00,"PIKARU21",2025-08-02 05:00:00,0,7.67,85.4858333333333,5.39916666666667
5,2025,8,2,2025-08-02 05:00:00,"PIKARU25",2025-08-02 05:00:00,5,7.67,85.4858333333333,5.39916666666667
5,2025,8,2,2025-08-02 05:00:00,"PIKARU2",2025-08-02 05:00:00,0,7.67,85.4858333333333,5.39916666666667
5,2025,8,2,2025-08-02 05:00:00,"PIKARU6",2025-08-02 05:00:00,8,7.67,85.4858333333333,5.39916666666667
5,2025,8,4,2025-08-04 05:00:00,"PIKARU20",2025-08-04 05:00:00,9,8.4475,67.595,2.8075
5,2025,8,4,2025-08-04 05:00:00,"PIKARU21",2025-08-04 05:00:00,1,8.4475,67.595,2.8075
5,2025,8,4,2025-08-04 05:00:00,"PIKARU25",2025-08-04 05:00:00,5,8.4475,67.595,2.8075
5,2025,8,4,2025-08-04 05:00:00,"PIKARU2",2025-08-04 05:00:00,0,8.4475,67.595,2.8075
5,2025,8,4,2025-08-04 05:00:00,"PIKARU6",2025-08-04 05:00:00,8,8.4475,67.595,2.8075
5,2025,8,5,2025-08-05 05:00:00,"PIKARU20",2025-08-05 05:00:00,4,7.15,80.8833333333333,4.09833333333333
5,2025,8,5,2025-08-05 05:00:00,"PIKARU21",2025-08-05 05:00:00,1,7.15,80.8833333333333,4.09833333333333
5,2025,8,5,2025-08-05 05:00:00,"PIKARU25",2025-08-05 05:00:00,3,7.15,80.8833333333333,4.09833333333333
5,2025,8,5,2025-08-05 05:00:00,"PIKARU2",2025-08-05 05:00:00,1,7.15,80.8833333333333,4.09833333333333
5,2025,8,5,2025-08-05 05:00:00,"PIKARU6",2025-08-05 05:00:00,2,7.15,80.8833333333333,4.09833333333333
6,2025,8,2,2025-08-02 06:00:00,"PIKARU20",2025-08-02 06:00:00,11,8.28833333333333,84.8233333333333,5.89083333333333
6,2025,8,2,2025-08-02 06:00:00,"PIKARU21",2025-08-02 06:00:00,2,8.28833333333333,84.8233333333333,5.89083333333333
6,2025,8,2,2025-08-02 06:00:00,"PIKARU25",2025-08-02 06:00:00,11,8.28833333333333,84.8233333333333,5.89083333333333
6,2025,8,2,2025-08-02 06:00:00,"PIKARU2",2025-08-02 06:00:00,1,8.28833333333333,84.8233333333333,5.89083333333333
6,2025,8,2,2025-08-02 06:00:00,"PIKARU6",2025-08-02 06:00:00,3,8.28833333333333,84.8233333333333,5.89083333333333
6,2025,8,4,2025-08-04 06:00:00,"PIKARU20",2025-08-04 06:00:00,23,8.52416666666667,68.4675,3.06083333333333
6,2025,8,4,2025-08-04 06:00:00,"PIKARU21",2025-08-04 06:00:00,11,8.52416666666667,68.4675,3.06083333333333
6,2025,8,4,2025-08-04 06:00:00,"PIKARU25",2025-08-04 06:00:00,27,8.52416666666667,68.4675,3.06083333333333
6,2025,8,4,2025-08-04 06:00:00,"PIKARU2",2025-08-04 06:00:00,3,8.52416666666667,68.4675,3.06083333333333
6,2025,8,4,2025-08-04 06:00:00,"PIKARU6",2025-08-04 06:00:00,6,8.52416666666667,68.4675,3.06083333333333
6,2025,8,5,2025-08-05 06:00:00,"PIKARU20",2025-08-05 06:00:00,2,7.735,81.4433333333333,4.7675
6,2025,8,5,2025-08-05 06:00:00,"PIKARU21",2025-08-05 06:00:00,0,7.735,81.4433333333333,4.7675
6,2025,8,5,2025-08-05 06:00:00,"PIKARU25",2025-08-05 06:00:00,2,7.735,81.4433333333333,4.7675
6,2025,8,5,2025-08-05 06:00:00,"PIKARU2",2025-08-05 06:00:00,0,7.735,81.4433333333333,4.7675
6,2025,8,5,2025-08-05 06:00:00,"PIKARU6",2025-08-05 06:00:00,1,7.735,81.4433333333333,4.7675
7,2025,8,2,2025-08-02 07:00:00,"PIKARU20",2025-08-02 07:00:00,13,9.56916666666667,82.07,6.66833333333333
7,2025,8,2,2025-08-02 07:00:00,"PIKARU21",2025-08-02 07:00:00,0,9.56916666666667,82.07,6.66833333333333
7,2025,8,2,2025-08-02 07:00:00,"PIKARU25",2025-08-02 07:00:00,15,9.56916666666667,82.07,6.66833333333333
7,2025,8,2,2025-08-02 07:00:00,"PIKARU2",2025-08-02 07:00:00,1,9.56916666666667,82.07,6.66833333333333
7,2025,8,2,2025-08-02 07:00:00,"PIKARU6",2025-08-02 07:00:00,17,9.56916666666667,82.07,6.66833333333333
7,2025,8,4,2025-08-04 07:00:00,"PIKARU20",2025-08-04 07:00:00,40,9.90916666666667,66.2883333333333,3.91916666666667
7,2025,8,4,2025-08-04 07:00:00,"PIKARU21",2025-08-04 07:00:00,2,9.90916666666667,66.2883333333333,3.91916666666667
7,2025,8,4,2025-08-04 07:00:00,"PIKARU25",2025-08-04 07:00:00,47,9.90916666666667,66.2883333333333,3.91916666666667
7,2025,8,4,2025-08-04 07:00:00,"PIKARU2",2025-08-04 07:00:00,17,9.90916666666667,66.2883333333333,3.91916666666667
